,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายงานรายวิชาที่เปิดสอนให้นิสิตลงทะเบียน,,,,,,,,,,,,,,,,,,,,,,,,,,,
สถานที่จัดการเรียนการสอน มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน,,,,,,,,,,,,,,,,,,,,,,,,,,,
ภาคการศึกษา ภาคต้น/2568,,,,,,,,,,,,,,,,,,,,,,,,,,,
วิชา,บรรยาย,,,,,,,ปฎิบัติ,,,,,,อาจารย์ผู้สอน,,,,,,,,,,,,,
,หน่วยกิตรวม,หน่วยกิต,หมู่เรียน,วัน-เวลา,ห้องเรียน,สาขา-ชั้นปีมีสิทธิ์,รับ,หน่วยกิต,หมู่เรียน,วัน-เวลา,ห้องเรียน,สาขา-ชั้นปีมีสิทธิ์,รับ,,,,,,,,,,,,,,
บริหารธุรกิจ,,,,,,,,,,,,,,,,,,,,,,,,,,,
02744441-65 การดำเนินงานบาร์ (Bar Operation),3,2,700,วันศุกร์  8:00-10:00,P518,"H07-3 , H07-4",40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,711,วันศุกร์  10:00-12:00,P518,"H07-3 , H07-4",40,,,,,,,,,,,,,,
,3,2,874,วันศุกร์  13:00-15:00,SIL205,H07-3,20,,,,,,,ปฤณพร บุญรังษี* ,,,,,,,,,,,,,
,,,,,,,,1,874,วันศุกร์  15:00-17:00,SIL205,H07-3,20,ปฤณพร บุญรังษี* ,,,,,,,,,,,,,
02744461-65 ภาษาอังกฤษเพื่อเตรียมพร้อมด้านอาชีพในธุรกิจโรงแรมและภัตตาคาร (English for Career Preparation in Hotel and Restaurant Business),3,3,700,"วันจันทร์  16:00-17:30,วันอังคาร  10:30-12:00","P513 , P505",H07-4,50,,,,,,,ปิยะนุช เลาศรีรัตนชัย* ,,,,,,,,,,,,,
,3,3,701,"วันอังคาร  16:00-17:30,วันพฤหัสบดี  16:00-17:30","P517 , P517",H07-4,50,,,,,,,กาญจนาภา อินทรจักร์* ,,,,,,,,,,,,,
,3,3,874,วันพุธ  16:00-19:00,P518,H07-4,26,,,,,,,ปิยะนุช เลาศรีรัตนชัย* ,,,,,,,,,,,,,
02744497-65 สัมมนา (Seminar),1,1,700,วันอังคาร  9:00-10:00,P410,H07-4,98,,,,,,,กฤษณ์ เลี้ยงพันธุ์* ,,,,,,,,,,,,,
,1,1,874,วันอังคาร  16:00-17:00,P518,H07-4,26,,,,,,,กฤษณ์ เลี้ยงพันธุ์* ,,,,,,,,,,,,,
02745111-65 วิวัฒนาการงานบริการในอุตสาหกรรมการท่องเที่ยวบริการ (Service Evolution in Tourism and Hospitality Industry),3,3,700,วันจันทร์  13:00-16:00,LH2-303,H05-1,165,,,,,,,ศุศราภรณ์ แต่งตั้งลำ* ,,,,,,,,,,,,,
,3,3,882,"วันอังคาร  16:00-17:30,วันพุธ  17:30-19:00","LH4-104 , SILLH105","H05-1 , H05-2",156,,,,,,,ศุศราภรณ์ แต่งตั้งลำ* ,,,,,,,,,,,,,
02745112-65 จิตวิทยาอุตสาหกรรมการท่องเที่ยวและบริการ (Psychology in Tourism and Hospitality Industry),3,3,700,วันศุกร์  13:00-16:00,P315,H05-1,165,,,,,,,ศุศราภรณ์ แต่งตั้งลำ* ,,,,,,,,,,,,,
,3,3,882,"วันจันทร์  17:30-19:00,วันศุกร์  17:30-19:00","SILLH105 , SILLH105","H05-1 , H05-2",156,,,,,,,ศุศราภรณ์ แต่งตั้งลำ* ,,,,,,,,,,,,,
02745213-65 การขนส่งอุตสาหกรรมการท่องเที่ยวและบริการ (Transportation in Tourism and Hospitality Industry),3,3,700,วันพฤหัสบดี  13:00-16:00,SILLH103,H05-2,98,,,,,,,ศุศราภรณ์ แต่งตั้งลำ* ,,,,,,,,,,,,,
02745214-65 พฤติกรรมนักท่องเที่ยวข้ามวัฒนธรรม (Cross-cultural Tourist Behavior),3,3,700,"วันพุธ  16:00-17:30,วันพฤหัสบดี  10:30-12:00","SILLH102 , SILLH104",H05-2,98,,,,,,,ปิยพงศ์ เขตปิยรัตน์* ,,,,,,,,,,,,,
02745217-65 เทคโนโลยีสารสนเทศในงานออกแบบนวัตกรรมการบริการ (Information Technology in Service Innovation),3,3,700,"วันจันทร์  14:30-16:00,วันจันทร์  16:00-17:30","SIL303 , SILLH106",H05-2,49,,,,,,,ปิยพงศ์ เขตปิยรัตน์* ,,,,,,,,,,,,,
,3,3,701,"วันอังคาร  14:30-16:00,วันพุธ  14:30-16:00","SIL303 , SIL303",H05-2,49,,,,,,,ปิยพงศ์ เขตปิยรัตน์* ,,,,,,,,,,,,,
02745222-65 หลักการมัคคุเทศก์อาชีพ (Principle of Professional Tour Guide),3,2,700,วันศุกร์  12:30-14:30,SIL206,H05-2,98,,,,,,,นุชประวีณ์ ลิขิตศรัณย์* ,,,,,,,,,,,,,
,,,,,,,,1,711,วันศุกร์  14:30-16:30,SIL206,H05-2,98,นุชประวีณ์ ลิขิตศรัณย์* ,,,,,,,,,,,,,
02745237-65 การพัฒนาการท่องเที่ยวชุมชนเชิงสร้างสรรค์ (Creative Community-Based Tourism Development),3,3,700,วันศุกร์  13:00-16:00,SIL303,H05-3,89,,,,,,,ปิยพงศ์ เขตปิยรัตน์* ,,,,,,,,,,,,,
02745241-65 นวัตกรรมศิลปะการประกอบอาหารและการกินอยู่ (Food Styling Innovation and Gastronomy),3,2,700,วันพุธ  8:00-10:00,SIL 301,-,86,,,,,,,ปิยพงศ์ เขตปิยรัตน์* ,,,,,,,,,,,,,
,,,,,,,,1,711,วันพุธ  10:00-12:00,SIL 301,-,86,ปิยพงศ์ เขตปิยรัตน์* ,,,,,,,,,,,,,
02745324-65 การจัดนำเที่ยวในประเทศและต่างประเทศ (Organization of Domestic and Inbound Tours),3,2,700,วันพฤหัสบดี  8:00-10:00,SILLH103,H05-3,89,,,,,,,ศุศราภรณ์ แต่งตั้งลำ* ,,,,,,,,,,,,,
,,,,,,,,1,711,วันพฤหัสบดี  10:00-12:00,SILLH103,H05-3,89,ศุศราภรณ์ แต่งตั้งลำ* ,,,,,,,,,,,,,
02745327-65 วิธีเชิงปริมาณและวิเคราะห์ข้อมูลเพื่ออุตสาหกรรมการท่องเที่ยวและบริการ (Quantitative Methods in Tourism and Hospitality Industry),3,1,700,วันพฤหัสบดี  8:00-9:00,SIL204,H05-4,10,,,,,,,ชนม์ชนก ชิตประเสริฐ* ,,,,,,,,,,,,,
,,,,,,,,2,711,วันพฤหัสบดี  9:00-13:00,SIL204,H05-4,10,ชนม์ชนก ชิตประเสริฐ* ,,,,,,,,,,,,,
02745333-65 ศิลปะการถ่ายภาพและการเขียนบทวิจารณ์ทางการท่องเที่ยว (Art of Photography and Tourism Review Writing),3,3,700,วันศุกร์  13:00-16:00,SILLH102,H05-4,86,,,,,,,วุฒิ อำพันธ์* ,,,,,,,,,,,,,
02745335-65 การตลาดดิจิทัลสำหรับจุดหมายปลายทางการท่องเที่ยว (Digital Marketing for Tourism Destination),3,3,700,วันอังคาร  9:00-12:00,P417,H05-4,86,,,,,,,ชนม์ชนก ชิตประเสริฐ* ,,,,,,,,,,,,,
02745344-65 การออกแบบประสบการณ์สร้างสรรค์สำหรับงานนิทรรศการและการประชุม (Creative Experience Design for Event Exhibitions and Conferences),3,2,700,วันศุกร์  8:00-10:00,SIL206,H05-3,89,,,,,,,ชนม์ชนก ชิตประเสริฐ* ,,,,,,,,,,,,,
,,,,,,,,1,711,วันศุกร์  10:00-12:00,SIL206,H05-3,89,ชนม์ชนก ชิตประเสริฐ* ,,,,,,,,,,,,,
02745356-65 การออกแบบของที่ระลึกเพื่อการท่องเที่ยว (Souvenir Design for Tourism),3,3,700,วันพฤหัสบดี  13:00-16:00,SIL206,H05-4,86,,,,,,,ชนม์ชนก ชิตประเสริฐ* ,,,,,,,,,,,,,
02745445-65 การดำเนินงานและการจัดการงานบริการส่วนหน้า (Front Office Operations and Management),3,2,700,วันจันทร์  14:30-16:30,SIL206,H05-3,89,,,,,,,นุชประวีณ์ ลิขิตศรัณย์* ,,,,,,,,,,,,,
,,,,,,,,1,711,วันพุธ  14:30-16:30,SIL206,H05-3,89,นุชประวีณ์ ลิขิตศรัณย์* ,,,,,,,,,,,,,
02745467-65 การท่องเที่ยวเพื่อความสนใจพิเศษ (Special Interest Tourism),3,3,700,วันอังคาร  13:00-16:00,SILLH104,H05-3,89,,,,,,,ชนม์ชนก ชิตประเสริฐ* ,,,,,,,,,,,,,
02745491-65 ระเบียบวิธีวิจัยพื้นฐานเพื่ออุตสาหกรรมการท่องเที่ยวและบริการ (Basic Research Methodology in Tourism and Hospitality),3,2,700,วันจันทร์  8:00-10:00,SILLH104,H05-4,86,,,,,,,นุชประวีณ์ ลิขิตศรัณย์* ,,,,,,,,,,,,,
,,,,,,,,1,711,วันจันทร์  10:00-12:00,SILLH104,H05-4,86,นุชประวีณ์ ลิขิตศรัณย์* ,,,,,,,,,,,,,
02746113-64 ทักษะการฟัง-พูดภาษาอังกฤษ I (English Listening-Speaking Skills I),3,3,870,ติดต่อผู้สอน,ติดต่อผู้สอน,"H01-3 , H01-4",2,,,,,,,อมรรัตน์ รัตนวงค์* ,,,,,,,,,,,,,
02746115-64 ทักษะการอ่าน-เขียนภาษาอังกฤษ I (English Reading-Writing Skills I),3,3,700,ติดต่อผู้สอน,ติดต่อผู้สอน,H01-5,2,,,,,,,นิติกร ฤทธิโคตร* ,,,,,,,,,,,,,
,3,3,870,ติดต่อผู้สอน,ติดต่อผู้สอน,H01-3,2,,,,,,,นิติกร ฤทธิโคตร* ,,,,,,,,,,,,,
02746117-64 ทักษะคำศัพท์ภาษาอังกฤษเพื่ออุตสาหกรรมบริการ (English Vocabulary Skills for Service Industry),3,3,870,ติดต่อผู้สอน,ติดต่อผู้สอน,"H01-3 , H01-4 , H01-5",20,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
02746152-64 จิตวิทยาแรงจูงใจในอุตสาหกรรมบริการ (Psychology of Motivation in Service Industry),3,3,870,"วันพุธ  18:00-19:30,วันพฤหัสบดี  13:00-14:30","P301 , SIL204","H01-3 , H01-4 , H01-5",15,,,,,,,อุมาพร บุญเพชรแก้ว* ,,,,,,,,,,,,,
02746221-64 ภาษาอังกฤษวิชาชีพสำหรับอุตสาหกรรมบริการ (Professional English for Service Industry),3,3,700,ติดต่อผู้สอน,ติดต่อผู้สอน,"H01-3 , H01-4 , H01-5",15,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
,3,3,870,ติดต่อผู้สอน,ติดต่อผู้สอน,"H01-3 , H01-4 , H01-5",20,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
02746251-64 ความรู้เบื้องต้นเกี่ยวกับอุตสาหกรรมท่องเที่ยว (Introduction to Tourism Industry),3,3,700,ติดต่อผู้สอน,ติดต่อผู้สอน,"H01-3 , H01-4 , H01-5",5,,,,,,,อิสระพงษ์ พลธานี* ,,,,,,,,,,,,,
,3,3,870,ติดต่อผู้สอน,ติดต่อผู้สอน,"H01-3 , H01-4 , H01-5",5,,,,,,,อิสระพงษ์ พลธานี* ,,,,,,,,,,,,,
02746252-64 ความรู้เบื้องต้นเกี่ยวกับอุตสาหกรรมโรงแรม (Introduction to Hotel Industry),3,3,700,ติดต่อผู้สอน,ติดต่อผู้สอน,"H01-3 , H01-4 , H01-5",5,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
,3,3,870,ยังไม่มีการกำหนดวัน-เวลาเรียน,ยังไม่มีการกำหนดห้องเรียน,"H01-3 , H01-4 , H01-5",2,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
02746253-64 ความรู้เบื้องต้นเกี่ยวกับอุตสาหกรรมการบิน (Introduction to Aviation Industry),3,3,700,ติดต่อผู้สอน,ติดต่อผู้สอน,"H01-3 , H01-4 , H01-5",5,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
02746312-64 การแปลเพื่ออุตสาหกรรมบริการ (Translation for Service Industry),3,3,700,วันศุกร์  8:30-11:30,P509,H01-3,51,,,,,,,นิติกร ฤทธิโคตร* ,,,,,,,,,,,,,
,3,3,701,วันศุกร์  8:30-11:30,P407,H01-3,52,,,,,,,ธีระพงศ์ คงด้วง* ,,,,,,,,,,,,,
,3,3,870,วันอังคาร  16:30-19:30,P505,"H01-3 , H01-4 , H01-5",50,,,,,,,นิติกร ฤทธิโคตร* ,,,,,,,,,,,,,
,3,3,871,วันพฤหัสบดี  16:00-19:00,P505,"H01-3 , H01-4 , H01-5",52,,,,,,,นิติกร ฤทธิโคตร* ,,,,,,,,,,,,,
02746313-64 ภาษาอังกฤษเพื่อความฉลาดทางวัฒนธรรมในอุตสาหกรรมบริการ (English for Cultural Intelligence in Service Industry),3,3,700,"วันจันทร์  10:00-11:30,วันอังคาร  13:00-14:30","SIL302 , SIL302",H01-3,52,,,,,,,อมรรัตน์ รัตนวงค์* ,,,,,,,,,,,,,
,3,3,701,วันอังคาร  13:00-16:00,SIL103,H01-3,51,,,,,,,พัฒน์พินันท์ อยู่สำราญ* ,,,,,,,,,,,,,
,3,3,870,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","SIL302 , SIL302","H01-3 , H01-4 , H01-5",52,,,,,,,อมรรัตน์ รัตนวงค์* ,,,,,,,,,,,,,
,3,3,871,วันอังคาร  16:00-19:00,P509,"H01-3 , H01-4 , H01-5",50,,,,,,,อมรรัตน์ รัตนวงค์* ,,,,,,,,,,,,,
02746322-64 ภาษาอังกฤษเพื่องานกีฬาสากล (English for Worldwide Sports Events),3,3,700,"วันจันทร์  16:00-17:30,วันพฤหัสบดี  13:00-14:30","P505 , P505","H01-4 , H01-5",54,,,,,,,นิติกร ฤทธิโคตร* ,,,,,,,,,,,,,
,3,3,701,วันศุกร์  8:30-11:30,SIL102,"H01-4 , H01-5",54,,,,,,,พัฒน์พินันท์ อยู่สำราญ* ,,,,,,,,,,,,,
,3,3,870,"วันจันทร์  18:00-19:30,วันพฤหัสบดี  14:30-16:00","P505 , P505","H01-4 , H01-5",68,,,,,,,นิติกร ฤทธิโคตร* ,,,,,,,,,,,,,
02746323-64 ภาษาอังกฤษสำหรับงานมัคคุเทศก์และผู้นำกลุ่มท่องเที่ยว (English for Tour Guide and Tour Leader),3,3,700,"วันจันทร์  14:30-16:00,วันพฤหัสบดี  13:00-14:30","P517 , P415",H04-2,61,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
,3,3,701,วันจันทร์  9:00-12:00,P307,H04-2,61,,,,,,,ปิยะนุช เลาศรีรัตนชัย* ,,,,,,,,,,,,,
,3,3,870,วันศุกร์  13:00-16:00,P415,H01-4,5,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
02746325-64 ภาษาอังกฤษสำหรับศิลปะในประเทศไทย (English for Arts in Thailand),3,3,870,วันศุกร์  8:30-11:30,SIL204,"H01-5 , H01-4",5,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
02746326-64 ภาษาอังกฤษสำหรับประเพณีและวัฒนธรรมไทย (English for Tradition and Culture of Thailand),3,3,700,วันพฤหัสบดี  14:30-17:30,P504,H01-3,52,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
,3,3,701,"วันจันทร์  16:00-17:30,วันพุธ  16:00-17:30","P301 , P301",H01-3,51,,,,,,,ธีระพงศ์ คงด้วง* ,,,,,,,,,,,,,
,3,3,870,วันศุกร์  8:30-11:30,SIL204,"H01-3 , H01-4",50,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
,3,3,871,วันศุกร์  14:30-17:30,P512,"H01-3 , H01-4",50,,,,,,,นิติกร ฤทธิโคตร* ,,,,,,,,,,,,,
02746335-64 ภาษาอังกฤษสำหรับบาร์และการบริการเครื่องดื่ม (English for Bar and Beverage Service),3,3,700,"วันจันทร์  16:00-17:30,วันพฤหัสบดี  10:00-11:30","P401 , SIL302",H01-3,52,,,,,,,อมรรัตน์ รัตนวงค์* ,,,,,,,,,,,,,
,3,3,701,"วันพฤหัสบดี  13:00-14:30,วันศุกร์  13:00-14:30","SIL302 , SIL302",H01-3,51,,,,,,,อมรรัตน์ รัตนวงค์* ,,,,,,,,,,,,,
,3,3,702,"วันอังคาร  14:30-16:00,วันพุธ  16:00-17:30","P417 , P509",H05-4,62,,,,,,,สุนทรัตร์ แสงงาม* ,,,,,,,,,,,,,
,3,3,703,วันพฤหัสบดี  9:00-12:00,P417,"H07-3 , H07-4 , H05-4",62,,,,,,,กาญจนาภา อินทรจักร์* ,,,,,,,,,,,,,
,3,3,704,วันศุกร์  13:00-16:00,P517,H07-3,65,,,,,,,กาญจนาภา อินทรจักร์* ,,,,,,,,,,,,,
,3,3,705,"วันจันทร์  14:30-16:00,วันพุธ  14:30-16:00","P509 , P513","H10-4 , H05-4",80,,,,,,,กาญจนาภา อินทรจักร์* ,,,,,,,,,,,,,
,3,3,870,"วันพฤหัสบดี  16:00-17:30,วันศุกร์  14:30-16:00","P401 , SIL302","H01-3 , H01-4",50,,,,,,,อมรรัตน์ รัตนวงค์* ,,,,,,,,,,,,,
,3,3,871,"วันพฤหัสบดี  14:30-16:00,วันศุกร์  10:00-11:30","SIL102 , SIL103","H01-3 , H01-4",50,,,,,,,สุนทรัตร์ แสงงาม* ,,,,,,,,,,,,,
,3,3,874,วันศุกร์  9:00-12:00,SIL205,"H07-3 , H07-4",40,,,,,,,อมรรัตน์ รัตนวงค์* ,,,,,,,,,,,,,
"02746336-64 ภาษาอังกฤษสำหรับการจัดประชุม แสดงสินค้า และนิทรรศการ (English for Conference, Trade Fair, and Exhibition Business)",3,3,700,วันศุกร์  13:00-16:00,P401,"H01-4 , H01-5",54,,,,,,,ธีระพงศ์ คงด้วง* ,,,,,,,,,,,,,
,3,3,701,"วันจันทร์  13:00-14:30,วันพฤหัสบดี  13:00-14:30","P410 , P410","H01-4 , H01-5",54,,,,,,,กาญจนาภา อินทรจักร์* ,,,,,,,,,,,,,
,3,3,702,วันจันทร์  13:00-16:00,P415,H10-3,71,,,,,,,ธีระพงศ์ คงด้วง* ,,,,,,,,,,,,,
,3,3,703,"วันอังคาร  16:00-17:30,วันพฤหัสบดี  16:00-17:30","P410 , P410","H05-3 , H10-3",95,,,,,,,ธีระพงศ์ คงด้วง* ,,,,,,,,,,,,,
,3,3,704,วันจันทร์  8:30-11:30,P513,"H04-3 , H05-3",74,,,,,,,ธีระพงศ์ คงด้วง* ,,,,,,,,,,,,,
,3,3,705,วันพุธ  13:00-16:00,P310,H04-3,74,,,,,,,ธีระพงศ์ คงด้วง* ,,,,,,,,,,,,,
,3,3,870,"วันจันทร์  16:30-18:00,วันพุธ  16:30-18:00","P407 , P407","H01-4 , H01-5",68,,,,,,,กาญจนาภา อินทรจักร์* ,,,,,,,,,,,,,
02746343-64 ภาษาอังกฤษสำหรับการบริการบนเครื่องบิน (English for In-flight Services),3,3,700,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  8:30-10:00","P505 , P505",H01-3,53,,,,,,,ปิยะนุช เลาศรีรัตนชัย* ,,,,,,,,,,,,,
,3,3,701,"วันจันทร์  10:00-11:30,วันพฤหัสบดี  14:30-16:00","P401 , P410",H01-3,51,,,,,,,กาญจนาภา อินทรจักร์* ,,,,,,,,,,,,,
,3,3,870,"วันจันทร์  13:00-14:30,วันศุกร์  13:00-14:30","P401 , P410","H01-3 , H01-4",50,,,,,,,ปิยะนุช เลาศรีรัตนชัย* ,,,,,,,,,,,,,
,3,3,871,"วันพุธ  13:00-14:30,วันศุกร์  8:30-10:00","P407 , SILLH102","H01-3 , H01-4",50,,,,,,,ปิยะนุช เลาศรีรัตนชัย* ,,,,,,,,,,,,,
02746344-64 ภาษาอังกฤษสำหรับการสรรหาบุคลากรด้านการบิน (English for Airline Personnel Recruitment),3,3,700,วันศุกร์  8:30-11:30,P307,"H01-4 , H01-5",54,,,,,,,กาญจนาภา อินทรจักร์* ,,,,,,,,,,,,,
,3,3,701,วันพฤหัสบดี  14:30-17:30,P417,"H01-4 , H01-5",54,,,,,,,ปิยะนุช เลาศรีรัตนชัย* ,,,,,,,,,,,,,
,3,3,870,วันอังคาร  16:00-19:00,P513,"H01-4 , H01-5",68,,,,,,,ปิยะนุช เลาศรีรัตนชัย* ,,,,,,,,,,,,,
02746492-64 ฝึกงานอุตสาหกรรมบริการ (Internship for Service Industry),,,,,,,,6,700,ติดต่อผู้สอน,ติดต่อผู้สอน,H01-5,1,ปิยะนุช เลาศรีรัตนชัย* ,,,,,,,,,,,,,
02746498-64 ปัญหาพิเศษ (Special problems),3,3,700,ติดต่อผู้สอน,ติดต่อผู้สอน,"H01-4 , H01-5",108,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
,3,3,870,ติดต่อผู้สอน,ติดต่อผู้สอน,"H01-4 , H01-5",68,,,,,,,ปิยะพงษ์ เลาศรีรัตนชัย* ,,,,,,,,,,,,,
02747111-65 อุตสาหกรรมการบิน (Aviation Industry),3,3,872,วันจันทร์  9:00-12:00,P315,H03-3,3,,,,,,,จันทร์เมธา ศรีรักษา* ,,,,,,,,,,,,,
02747212-65 นิรภัยและความปลอดภัยทางการบิน (Aviation Safety and Security),3,3,872,วันอังคาร  13:00-16:00,P310,H03-3,2,,,,,,,จันทร์เมธา ศรีรักษา* ,,,,,,,,,,,,,
02747214-65 พฤติกรรมผู้บริโภคในธุรกิจการบิน (Consumer Behavior in Aviation Business),3,3,700,วันพฤหัสบดี  9:00-12:00,P513,H03-3,76,,,,,,,ปภาพัศร์ วงษ์ประคอง* ,,,,,,,,,,,,,
,3,3,872,วันศุกร์  13:00-16:00,P504,H03-3,64,,,,,,,ปภาพัศร์ วงษ์ประคอง* ,,,,,,,,,,,,,
02747321-65 การดำเนินงานบริการภาคพื้น (Ground Service Operation),3,2,700,วันจันทร์  13:00-15:00,P512,H03-3,40,,,,,,,อังคณา ถนอมเกียรติ* ,,,,,,,,,,,,,
,3,2,701,วันพฤหัสบดี  13:00-15:00,P512,H03-3,38,,,,,,,อังคณา ถนอมเกียรติ* ,,,,,,,,,,,,,
,,,,,,,,1,711,วันจันทร์  15:00-17:00,P512,H03-3,40,อังคณา ถนอมเกียรติ* ,,,,,,,,,,,,,
,,,,,,,,1,712,วันพฤหัสบดี  15:00-17:00,P512,H03-3,38,อังคณา ถนอมเกียรติ* ,,,,,,,,,,,,,
,3,2,872,วันอังคาร  13:00-15:00,P512,H03-3,32,,,,,,,อังคณา ถนอมเกียรติ* ,,,,,,,,,,,,,
,,,,,,,,1,872,วันอังคาร  15:00-17:00,P512,H03-3,32,อังคณา ถนอมเกียรติ* ,,,,,,,,,,,,,
,3,2,873,วันพุธ  13:00-15:00,P512,H03-3,32,,,,,,,อังคณา ถนอมเกียรติ* ,,,,,,,,,,,,,
,,,,,,,,1,873,วันพุธ  15:00-17:00,P512,H03-3,32,อังคณา ถนอมเกียรติ* ,,,,,,,,,,,,,
02747341-65 การจัดการครัวการบิน (Flight Catering Management),3,3,700,วันศุกร์  13:00-16:00,P513,H03-3,76,,,,,,,เมทินี วงศ์ธราวัฒน์* ,,,,,,,,,,,,,
,3,3,872,"วันพฤหัสบดี  8:30-10:00,วันศุกร์  8:30-10:00","P504 , P504",H03-3,64,,,,,,,เมทินี วงศ์ธราวัฒน์* ,,,,,,,,,,,,,
02747351-65 ภาษาอังกฤษเพื่อการสื่อสารสำหรับการบริการภาคพื้น (Communicative English for Ground Services),3,3,700,วันอังคาร  13:00-16:00,P513,H03-3,76,,,,,,,กฤษณพงศ์ ภู่กลาง* ,,,,,,,,,,,,,
,3,3,872,"วันอังคาร  9:00-10:30,วันพฤหัสบดี  13:00-14:30","P504 , P504",H03-3,64,,,,,,,กฤษณพงศ์ ภู่กลาง* ,,,,,,,,,,,,,
02747356-65 ภาษาอังกฤษเพื่อการเตรียมความพร้อมด้านอาชีพในธุรกิจการบิน (Communicative English for Career Preparation in Airline Business),3,3,700,วันจันทร์  13:00-16:00,P504,H03-4,64,,,,,,,ปภาพัศร์ วงษ์ประคอง* ,,,,,,,,,,,,,
,3,3,872,วันพฤหัสบดี  13:00-16:00,P518,H03-4,38,,,,,,,ปภาพัศร์ วงษ์ประคอง* ,,,,,,,,,,,,,
02747441-65 การจัดการเชิงกลยุทธ์ในธุรกิจการบิน (Strategic Management in Aviation Business),3,3,700,วันศุกร์  9:00-12:00,P505,H03-4,64,,,,,,,จันทร์เมธา ศรีรักษา* ,,,,,,,,,,,,,
,3,3,872,วันศุกร์  13:00-16:00,P518,H03-4,38,,,,,,,จันทร์เมธา ศรีรักษา* ,,,,,,,,,,,,,
02747442-65 การจัดการคุณภาพบริการในธุรกิจการบิน (Service Quality Management in Aviation Business),3,3,700,วันพุธ  13:00-16:00,P504,H03-4,64,,,,,,,เมทินี วงศ์ธราวัฒน์* ,,,,,,,,,,,,,
,3,3,872,วันจันทร์  9:00-12:00,P518,H03-4,38,,,,,,,เมทินี วงศ์ธราวัฒน์* ,,,,,,,,,,,,,
02747443-65 นวัตกรรมและการออกแบบบริการในธุรกิจการบิน (Innovation and Services Design in Aviation Business),3,3,700,วันศุกร์  9:00-12:00,P513,H03-3,76,,,,,,,ปภาพัศร์ วงษ์ประคอง* ,,,,,,,,,,,,,
,3,3,872,วันจันทร์  9:00-12:00,P504,H03-3,64,,,,,,,ปภาพัศร์ วงษ์ประคอง* ,,,,,,,,,,,,,
02747497-65 สัมมนา (Seminar),1,1,700,วันพุธ  16:00-17:00,P504,H03-4,64,,,,,,,เมทินี วงศ์ธราวัฒน์* ,,,,,,,,,,,,,
,1,1,872,วันศุกร์  16:00-17:00,P518,H03-4,38,,,,,,,เมทินี วงศ์ธราวัฒน์* ,,,,,,,,,,,,,
02747498-65 ปัญหาพิเศษ (Special Problems),,,,,,,,3,700,ติดต่อผู้สอน,ติดต่อผู้สอน,H03-4,64,จันทร์เมธา ศรีรักษา* ,,,,,,,,,,,,,
,,,,,,,,3,872,ติดต่อผู้สอน,ติดต่อผู้สอน,H03-4,38,จันทร์เมธา ศรีรักษา* ,,,,,,,,,,,,,
02801111-67 โครงสร้างไวยากรณ์ภาษาอังกฤษ I (English Grammar Structure I),3,3,700,วันจันทร์  8:30-11:30,P410,H01-1,70,,,,,,,นิติกร ฤทธิโคตร* ,,,,,,,,,,,,,
,3,3,701,วันอังคาร  8:30-11:30,SIL301,H01-1,70,,,,,,,พัฒน์พินันท์ อยู่สำราญ* ,,,,,,,,,,,,,
,3,3,870,วันอังคาร  16:00-19:00,P417,"H01-1 , H01-2",70,,,,,,,สุนทรัตร์ แสงงาม* ,,,,,,,,,,,,,
,3,3,871,"วันจันทร์  14:30-16:00,วันอังคาร  10:00-11:30","SIL201 , SIL201","H01-1 , H01-2",70,,,,,,,สุนทรัตร์ แสงงาม* ,,,,,,,,,,,,,
,3,3,872,วันพุธ  13:00-16:00,SIL301,"H01-1 , H01-2",70,,,,,,,พัฒน์พินันท์ อยู่สำราญ* ,,,,,,,,,,,,,
02801113-67 ทักษะการฟัง-พูดภาษาอังกฤษ I (English Listening-Speaking Skills I),3,3,700,วันอังคาร  8:30-11:30,SIL206,H01-1,70,,,,,,,อมรรัตน์ รัตนวงค์* ,,,,,,,,,,,,,
,3,3,701,วันจันทร์  8:30-11:30,SIL301,H01-1,70,,,,,,,พัฒน์พินันท์ อยู่สำราญ* ,,,,,,,,,,,,,
